15 8 1 4 2 2 2
1 4
200000000.0 0.3 1.0
1 1.0000000000 0.0000000000
2 0.9238795325 0.3826834324
3 0.7071067812 0.7071067812
4 0.3826834324 0.9238795325
5 0.0000000000 1.0000000000
6 1.5000000000 0.0000000000
7 1.3858192988 0.5740251485
8 1.0606601718 1.0606601718
9 0.5740251485 1.3858192988
10 0.0000000000 1.5000000000
11 2.0000000000 0.0000000000
12 1.8477590650 0.7653668647
13 1.4142135624 1.4142135624
14 0.7653668647 1.8477590650
15 0.0000000000 2.0000000000
1 1 6 7 2 1
2 2 7 8 3 1
3 3 8 9 4 1
4 4 9 10 5 1
5 6 11 12 7 1
6 7 12 13 8 1
7 8 13 14 9 1
8 9 14 15 10 1
1 0 1
5 1 0
6 0 1
10 1 0
11 0 1
15 1 0
0 0 0
0 0.0 0.0
2 1 -100.0
3 2 -100.0
4 3 -100.0
5 4 -100.0
0 0 0.0
