153 128 1 4 2 2 2
1 4
200000000.0 0.3 1.0
1 1.0000000000 0.0000000000
2 0.9951847267 0.0980171403
3 0.9807852804 0.1950903220
4 0.9569403357 0.2902846773
5 0.9238795325 0.3826834324
6 0.8819212643 0.4713967368
7 0.8314696123 0.5555702330
8 0.7730104534 0.6343932842
9 0.7071067812 0.7071067812
10 0.6343932842 0.7730104534
11 0.5555702330 0.8314696123
12 0.4713967368 0.8819212643
13 0.3826834324 0.9238795325
14 0.2902846773 0.9569403357
15 0.1950903220 0.9807852804
16 0.0980171403 0.9951847267
17 0.0000000000 1.0000000000
18 1.1250000000 0.0000000000
19 1.1195828175 0.1102692829
20 1.1033834405 0.2194766123
21 1.0765578777 0.3265702619
22 1.0393644741 0.4305188614
23 0.9921614224 0.5303213289
24 0.9354033138 0.6250165121
25 0.8696367600 0.7136924447
26 0.7954951288 0.7954951288
27 0.7136924447 0.8696367600
28 0.6250165121 0.9354033138
29 0.5303213289 0.9921614224
30 0.4305188614 1.0393644741
31 0.3265702619 1.0765578777
32 0.2194766123 1.1033834405
33 0.1102692829 1.1195828175
34 0.0000000000 1.1250000000
35 1.2500000000 0.0000000000
36 1.2439809083 0.1225214254
37 1.2259816005 0.2438629025
38 1.1961754197 0.3628558466
39 1.1548494156 0.4783542905
40 1.1024015804 0.5892459210
41 1.0393370154 0.6944627913
42 0.9662630667 0.7929916052
43 0.8838834765 0.8838834765
44 0.7929916052 0.9662630667
45 0.6944627913 1.0393370154
46 0.5892459210 1.1024015804
47 0.4783542905 1.1548494156
48 0.3628558466 1.1961754197
49 0.2438629025 1.2259816005
50 0.1225214254 1.2439809083
51 0.0000000000 1.2500000000
52 1.3750000000 0.0000000000
53 1.3683789992 0.1347735680
54 1.3485797606 0.2682491928
55 1.3157929616 0.3991414312
56 1.2703343572 0.5261897195
57 1.2126417385 0.6481705131
58 1.1432707169 0.7639090704
59 1.0628893734 0.8722907657
60 0.9722718241 0.9722718241
61 0.8722907657 1.0628893734
62 0.7639090704 1.1432707169
63 0.6481705131 1.2126417385
64 0.5261897195 1.2703343572
65 0.3991414312 1.3157929616
66 0.2682491928 1.3485797606
67 0.1347735680 1.3683789992
68 0.0000000000 1.3750000000
69 1.5000000000 0.0000000000
70 1.4927770900 0.1470257105
71 1.4711779206 0.2926354830
72 1.4354105036 0.4354270159
73 1.3858192988 0.5740251485
74 1.3228818965 0.7070951052
75 1.2472044185 0.8333553495
76 1.1595156800 0.9515899262
77 1.0606601718 1.0606601718
78 0.9515899262 1.1595156800
79 0.8333553495 1.2472044185
80 0.7070951052 1.3228818965
81 0.5740251485 1.3858192988
82 0.4354270159 1.4354105036
83 0.2926354830 1.4711779206
84 0.1470257105 1.4927770900
85 0.0000000000 1.5000000000
86 1.6250000000 0.0000000000
87 1.6171751808 0.1592778530
88 1.5937760807 0.3170217733
89 1.5550280456 0.4717126005
90 1.5013042403 0.6218605776
91 1.4331220546 0.7660196973
92 1.3511381200 0.9028016287
93 1.2561419867 1.0308890868
94 1.1490485194 1.1490485194
95 1.0308890868 1.2561419867
96 0.9028016287 1.3511381200
97 0.7660196973 1.4331220546
98 0.6218605776 1.5013042403
99 0.4717126005 1.5550280456
100 0.3170217733 1.5937760807
101 0.1592778530 1.6171751808
102 0.0000000000 1.6250000000
103 1.7500000000 0.0000000000
104 1.7415732717 0.1715299956
105 1.7163742407 0.3414080635
106 1.6746455875 0.5079981852
107 1.6167891819 0.6696960066
108 1.5433622126 0.8249442894
109 1.4550718215 0.9722479078
110 1.3527682934 1.1101882473
111 1.2374368671 1.2374368671
112 1.1101882473 1.3527682934
113 0.9722479078 1.4550718215
114 0.8249442894 1.5433622126
115 0.6696960066 1.6167891819
116 0.5079981852 1.6746455875
117 0.3414080635 1.7163742407
118 0.1715299956 1.7415732717
119 0.0000000000 1.7500000000
120 1.8750000000 0.0000000000
121 1.8659713625 0.1837821381
122 1.8389724008 0.3657943538
123 1.7942631295 0.5442837699
124 1.7322741235 0.7175314357
125 1.6536023707 0.8838688815
126 1.5590055231 1.0416941869
127 1.4493946001 1.1894874078
128 1.3258252147 1.3258252147
129 1.1894874078 1.4493946001
130 1.0416941869 1.5590055231
131 0.8838688815 1.6536023707
132 0.7175314357 1.7322741235
133 0.5442837699 1.7942631295
134 0.3657943538 1.8389724008
135 0.1837821381 1.8659713625
136 0.0000000000 1.8750000000
137 2.0000000000 0.0000000000
138 1.9903694533 0.1960342807
139 1.9615705608 0.3901806440
