45 32 1 4 2 2 2
1 4
200000000.0 0.3 1.0
1 1.0000000000 0.0000000000
2 0.9807852804 0.1950903220
3 0.9238795325 0.3826834324
4 0.8314696123 0.5555702330
5 0.7071067812 0.7071067812
6 0.5555702330 0.8314696123
7 0.3826834324 0.9238795325
8 0.1950903220 0.9807852804
9 0.0000000000 1.0000000000
10 1.2500000000 0.0000000000
11 1.2259816005 0.2438629025
12 1.1548494156 0.4783542905
13 1.0393370154 0.6944627913
14 0.8838834765 0.8838834765
15 0.6944627913 1.0393370154
16 0.4783542905 1.1548494156
17 0.2438629025 1.2259816005
18 0.0000000000 1.2500000000
19 1.5000000000 0.0000000000
20 1.4711779206 0.2926354830
21 1.3858192988 0.5740251485
22 1.2472044185 0.8333553495
23 1.0606601718 1.0606601718
24 0.8333553495 1.2472044185
25 0.5740251485 1.3858192988
26 0.2926354830 1.4711779206
27 0.0000000000 1.5000000000
28 1.7500000000 0.0000000000
29 1.7163742407 0.3414080635
30 1.6167891819 0.6696960066
31 1.4550718215 0.9722479078
32 1.2374368671 1.2374368671
33 0.9722479078 1.4550718215
34 0.6696960066 1.6167891819
35 0.3414080635 1.7163742407
36 0.0000000000 1.7500000000
37 2.0000000000 0.0000000000
38 1.9615705608 0.3901806440
39 1.8477590650 0.7653668647
40 1.6629392246 1.1111404660
41 1.4142135624 1.4142135624
42 1.1111404660 1.6629392246
43 0.7653668647 1.8477590650
44 0.3901806440 1.9615705608
45 0.0000000000 2.0000000000
1 1 10 11 2 1
2 2 11 12 3 1
3 3 12 13 4 1
4 4 13 14 5 1
5 5 14 15 6 1
6 6 15 16 7 1
7 7 16 17 8 1
8 8 17 18 9 1
9 10 19 20 11 1
10 11 20 21 12 1
11 12 21 22 13 1
12 13 22 23 14 1
13 14 23 24 15 1
14 15 24 25 16 1
15 16 25 26 17 1
16 17 26 27 18 1
17 19 28 29 20 1
18 20 29 30 21 1
19 21 30 31 22 1
20 22 31 32 23 1
21 23 32 33 24 1
22 24 33 34 25 1
23 25 34 35 26 1
24 26 35 36 27 1
25 28 37 38 29 1
26 29 38 39 30 1
27 30 39 40 31 1
28 31 40 41 32 1
29 32 41 42 33 1
30 33 42 43 34 1
31 34 43 44 35 1
32 35 44 45 36 1
1 0 1
9 1 0
10 0 1
18 1 0
19 0 1
27 1 0
28 0 1
36 1 0
37 0 1
45 1 0
0 0 0
0 0.0 0.0
2 1 -100.0
3 2 -100.0
4 3 -100.0
5 4 -100.0
6 5 -100.0
7 6 -100.0
8 7 -100.0
9 8 -100.0
0 0 0.0
